,Count,Nouns
491,14,district
440,14,damage
1052,14,motorcycle
136,14,bikerack
516,14,drop
1552,14,stripe
64,14,art
336,14,code
975,14,manager
743,14,head
1154,14,path
765,14,hole
1602,14,tba
406,14,crank
1488,14,somebody
1268,14,pump
811,14,individual
1149,14,party
1609,14,telephone
1675,14,transit
381,14,conviction
630,13,form
896,13,landlord
512,13,driver
1475,13,skin
1137,13,pant
435,13,cycle
1759,13,walkway
402,13,cover
1447,13,shock
488,13,disk
1708,13,type
789,13,housing
998,13,meal
919,13,lever
1538,13,stock
1728,13,valet
925,13,life
367,13,condominium
1621,13,theif
1109,13,opener
703,13,grinder
1719,13,unknown
1345,12,river
1270,12,purchase
1559,12,style
1043,12,moment
574,12,facility
1096,12,nw
1678,12,trash
1574,12,sure
1573,12,support
486,12,disc
1098,12,object
1647,12,toe
45,12,aluminum
110,12,battery
209,12,build
466,12,derailleur
116,12,beard
422,12,cruiser
386,12,cord
364,12,concert
195,12,broadway
127,12,bench
159,12,body
54,12,appreciation
332,12,cm
244,12,camper
399,12,court
1771,12,web
451,12,decal
48,12,angle
1448,12,shoe
1685,11,triangle
968,11,maintenance
82,11,baby
330,11,club
549,11,entryway
371,11,construction
192,11,briefly
430,11,customer
1726,11,utility
1452,11,short
1654,11,total
649,11,ft
1296,11,receipt
1660,11,tower
1292,11,rd
394,11,couch
585,11,feature
982,11,mark
966,11,mail
1002,11,mechanism
847,11,jeep
1145,11,parkade
1442,11,shift
1004,11,medium
1578,11,suspension
1066,11,museum
1585,11,table
1086,11,noise
1590,11,tail
993,11,matte
113,11,beam
1352,11,robbery
1403,11,screw
198,11,brother
327,10,clothe
1255,10,process
1716,10,union
274,10,ceiling
1167,10,pearl
674,10,gift
58,10,apt
658,10,garbage
871,10,killingsworth
1252,10,privacy
1295,10,rec
417,10,cross
1068,10,mustache
102,10,bart
1337,10,rider
1418,10,sellwood
774,10,hoodie
1664,10,track
626,10,force
412,10,creek
398,10,course
1572,10,supermarket
609,10,flag
14,10,accident
1152,10,passenger
30,10,age
1521,10,staff
1211,10,plaza
1518,10,sram
804,10,image
1800,10,worker
1727,10,vacation
1749,9,vintage
1265,9,public
187,9,breezeway
1440,9,shell
1500,9,spd
1629,9,thought
1176,9,perpetrator
750,9,heart
324,9,clipless
76,9,auto
1207,9,plate
1208,9,platform
1042,9,mom
409,9,crate
1810,9,writing
103,9,base
675,9,girl
62,9,arrest
1600,9,tavern
141,9,bin
1231,9,portion
70,9,attachment
1608,9,teenager
95,9,bank
696,9,green
1249,9,print
663,9,gas
72,9,attempt
950,9,loft
1244,9,premise
309,9,circle
767,9,holiday
266,9,cart
378,9,convention
939,9,living
463,9,depend
1307,9,reflector
1353,9,rock
490,9,distance
25,9,adult
1309,9,registration
459,9,delivery
1005,9,meeting
411,9,credit
520,9,dude
483,8,direction
712,8,guest
816,8,infront
1762,8,warehouse
1380,8,salon
916,8,letter
1020,8,mid
875,8,kiss
391,8,corridor
953,8,look
74,8,attention
493,8,dock
961,8,lovejoy
634,8,foyer
384,8,cop
1241,8,powell
799,8,hybrid
1828,8,yr
867,8,kickstand
1725,8,use
553,8,errand
373,8,container
988,8,master
791,8,hrs
1067,8,music
1798,8,word
1254,8,problem
1772,8,website
984,8,marking
1097,8,oak
179,8,bracket
836,8,issue
942,8,loan
746,8,headset
594,8,fiance
744,8,headlamp
889,8,ladder
1112,8,opportunity
615,8,flight
876,8,kit
951,8,logo
251,8,canopy
1264,8,pub
539,8,emergency
733,8,hanger
1288,8,ramp
1194,7,pillar
438,7,cyclocross
1216,7,pod
1582,7,sweatshirt
1090,7,north
787,7,housemate
758,7,hill
731,7,handrail
1161,7,pay
947,7,locked
333,7,coat
1468,7,sister
190,7,brick
1441,7,shelter
745,7,headlight
702,7,grill
260,7,care
1210,7,playground
782,7,hostel
342,7,collection
308,7,cinema
1586,7,tabor
1689,7,trim
94,7,banister
1037,7,mistake
897,7,lane
877,7,kitchen
1192,7,pier
1377,7,safeway
1175,7,perp
1197,7,pine
213,7,bullhorn
1490,7,sort
1722,7,upstair
425,7,cup
1398,7,science
652,7,future
1595,7,target
125,7,belmont
1656,7,tour
288,7,chair
1438,7,shed
618,7,foam
390,7,corral
1801,7,working
1413,7,section
1028,7,mini
1049,7,morrison
1564,7,suite
1258,7,proof
36,7,alarm
128,7,bent
1797,7,woodstock
589,7,fencing
1399,7,scooter
233,7,cab
1531,7,state
469,7,design
681,7,glove
595,7,fiber
404,7,craft
1030,7,minivan
670,7,gel
250,7,cannondale
470,7,desk
680,7,glisan
1365,7,round
1143,7,parent
1386,7,saturday
1165,6,pdx
766,6,holgate
952,6,lombard
1402,6,screen
1744,6,victim
465,6,derailer
139,6,biking
158,6,boat
1596,6,tarp
881,6,knowledge
839,6,jack
109,6,bathroom
827,6,internet
1094,6,notice
790,6,hr
1529,6,staple
1166,6,peace
270,6,cassette
800,6,ice
6,6,30
803,6,identification
1351,6,roadside
294,6,check
462,6,department
1592,6,talk
215,6,bunch
518,6,drug
290,6,chance
98,6,barn
523,6,duplex
1093,6,note
42,6,alleyway
277,6,cement
977,6,manor
923,6,license
690,6,grass
1551,6,strip
614,6,flex
679,6,glass
1371,6,rust
423,6,ct
677,6,giro
1704,6,tv
1235,6,possession
1495,6,southeast
885,6,lab
1239,6,pound
400,6,courthouse
1016,6,method
1723,6,upstairs
914,6,lesson
1652,6,tooth
660,6,gargage
385,6,copper
34,6,air
197,6,brook
654,6,gallery
584,6,fault
164,6,book
651,6,furniture
393,6,cottage
1568,6,sunday
1422,6,series
392,6,cost
931,6,lime
989,6,masterlock
902,6,law
339,6,coil
1170,6,pedestrian
1687,6,tricycle
1171,6,peg
1330,6,restroom
537,6,elevator
1172,6,pen
890,6,lady
737,6,hardware
734,6,hanging
188,6,brewery
181,6,branch
231,6,bystander
1039,6,mode
1325,6,respect
1516,6,square
1072,6,neck
593,6,festival
410,6,cream
544,6,enter
1363,6,rope
1036,6,mission
980,6,marina
23,6,admin
447,6,dc
477,6,diamondback
1636,6,ticket
500,5,doorstep
1370,5,rush
1598,5,tattoo
850,5,jo
1079,5,neon
1051,5,motor
1070,5,navy
1583,5,swimming
892,5,lake
1034,5,mirror
1587,5,taco
873,5,king
1375,5,saddlebag
1792,5,winter
1580,5,suv
1555,5,stud
474,5,device
1397,5,schwinn
904,5,lb
908,5,leg
994,5,matter
246,5,camping
271,5,cat
1060,5,mud
1092,5,nose
1368,5,rubber
167,5,booth
261,5,cargo
1162,5,payday
1376,5,safety
688,5,grade
420,5,crow
1778,5,weight
421,5,crowbar
976,5,manner
1009,5,men
